Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Eram Razzaq,"Dermatologist, Cosmetologist",MBBS,12 Years,Not Available,MCPS (Dermatology),Under 15 Min,33,100%,Lahore
Dr. Noor Ul Ain,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S.,"99%
                                                                                    (205)","Rs. 1,400","MSc Clinical Dermatology,  Diploma in Aesthetic Medicine",5 Years,205,,Lahore
Dr. Asim Ali Malik,"Dermatologist, Cosmetologist",M.B.B.S,20 Years,"Rs. 3,000","M.R.C.P.S (UK),  Dip. In Dermatology (D-Derm) (UK)",Under 15 Min,224,97%,Lahore
Dr. Burhan Ashraf,"Dermatologist, Cosmetologist, Hair Transplant Surgeon",MBBS,11 Years,"Rs. 2,000","FCPS (Dermatologist),  M.R.C.P (U.K),  Diplomate of American Board Hair Restoration Surgeons,  MRCP (LONDON),  MRCPE (EDINBURGH),  MRCP ( GLASGOW)",15 - 30 Min,71,95%,Lahore
Dr. Sehrish Khalid,"Dermatologist, Cosmetologist",MBBS,6 Years,"Rs. 3,000",FCPS (Dermatology),15 - 30 Min,84,100%,Lahore
Dr. Kehkshan Tahir,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 2,500",FCPS (Dermatology),Under 15 Min,200,99%,Lahore
Dr. Aisha Ahmad,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,000","FCPS (Derma),  American Academy of Aesthetics and Dermatology",Under 15 Min,190,98%,Lahore
Dr. Chaudhary Muhammad Tahir,"Dermatologist, Cosmetologist",M.B.B.S,32 Years,"Rs. 2,500","DDSc (Diplomat in Dermatological Sciences),   WALES,  UK,  M.P.A.D (Pak),  ME-ADV (Belgium)",Under 15 Min,521,98%,Lahore
Dr. Faryal Ather,"Cosmetologist, Dermatologist",M.B.B.S,13 Years,"Rs. 2,500",D.Derm (UK),Under 15 Min,141,98%,Lahore
Prof. Dr. Faria Asad,"Dermatologist, Cosmetologist",M.B.B.S,25 Years,"Rs. 3,000",F.C.P.S,Under 15 Min,834,99%,Lahore
Dr. Shumaila Waqas,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 1,000",MCPS,Under 15 Min,563,98%,Lahore
Brig.(R) Dr. Rehan Uddin,"Dermatologist, Cosmetologist",M.B.B.S.,30 Years,"Rs. 2,000",F.C.P.S. (Dermatology),Under 15 Min,252,98%,Lahore
Dr. Tauqir Haider,"Dermatologist, Cosmetologist",M.B.B.S.,30 Years,"Rs. 2,000",MCCEE,Under 15 Min,197,99%,Lahore
Dr. Saleha Zeeshan,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist",M.B.B.S,5 Years,Not Available,"M.C.P.S (Dermatology),   Certified Aesthetic Medicine (USA)",Under 15 Min,20,94%,Lahore
Prof. Dr. Nadia Ali Azfar,"Dermatologist, Cosmetologist",M.B.B.S,25 Years,"Rs. 3,000",F.C.P.S. ( DERMATOLOGY ),Under 15 Min,142,100%,Lahore
Assist. Prof. Dr. Zahida Perveen,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",FCPS (Dermatology),Under 15 Min,307,100%,Lahore
Dr. Zartaj Liaqat,"Dermatologist, Cosmetologist",M.B.B.S.,13 Years,"Rs. 1,500",F.C.P.S. (Dermatology),Under 15 Min,92,97%,Lahore
Dr. Areej Adeel,"Dermatologist, Cosmetologist",M.B.B.S.,12 Years,"Rs. 2,000",F.C.P.S. (Dermatology),Under 15 Min,110,99%,Lahore
Dr. Aqsa Zubair Awan,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,500",F.C.P.S. (Dermatology),Under 15 Min,443,99%,Lahore
Dr. Meraj Saadat,"Dermatologist, Cosmetologist",MBBS,20 Years,"Rs. 1,200",Dip in Dermatology,Under 15 Min,1732,99%,Lahore
Lt. Col. (R) Dr. Muhammad Amjad,"Dermatologist, Cosmetologist",MBBS,"100%
                                                                                    (188)","Rs. 1,000","MCPS (Dermatology),  FCPS (Dermatology)",Under 15 Min,188,,Lahore
Dr. Nuzha Niazi,"Dermatologist, Aesthetic Physician",M.B.B.S,10 Years,"Rs. 3,000","F.C.P.S. (Dermatology),  Certified in American Academy of Aesthetic Medicine",Under 15 Min,72,100%,Lahore
Lt. Col. (R). Prof. Dr. Habib ur Rehman,"Dermatologist, Cosmetologist",M.B.B.S.,30 Years,Not Available,"F.C.P.S. (Dermatology),  M.C.P.S,  M.Phil,  Fellow American Academy Of Dermatology,  Fellowship Johns Hopkins Hospital MD",Under 15 Min,1070,99%,Lahore
Dr. Humaira Shamim,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 2,500","FCPS (Dermatology),  CHPE,  AAAM",Under 15 Min,260,99%,Lahore
Dr. Sidra Aziz,"Dermatologist, Cosmetologist",M.B.B.S,5 Years,"Rs. 1,500",F.C.P.S (Dermatology),Under 15 Min,129,96%,Lahore
Dr. Ayesha Rehman,"Dermatologist, Cosmetologist",MBBS,23 Years,"Rs. 2,000",MCPS (Dermatology),Under 15 Min,921,99%,Lahore
Dr. Sumaira Rashid,"Cosmetologist, Dermatologist",MBBS,21 Years,"Rs. 3,500",FCPS (Dermatology),Under 15 Min,327,98%,Lahore
Assist. Prof. Dr. Saima Ilyas,"Dermatologist, Cosmetologist",MBBS,19 Years,"Rs. 2,500",FCPS (Dermatology),15 - 30 Min,61,100%,Lahore
Dr. Rabia Imran,"Dermatologist, Cosmetologist",MBBS,8 Years,"Rs. 2,000",FCPS (Dermatology),Under 15 Min,20,95%,Lahore
Dr. Sehrish Ashraf,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,000",F.C.P.S. (Dermatology),Under 15 Min,90,98%,Lahore
Prof. Dr. Tariq Zaman,"Dermatologist, Cosmetologist",M.B.B.S.,40 Years,"Rs. 3,500","M.C.P.S (Dermatology),  F.C.P.S. (Dermatology)",15 - 30 Min,65,98%,Lahore
Dr. Ahmed Kazmi,"Dermatologist, Cosmetologist",M.B.B.S.,15 Years,"Rs. 1,500",MD Dermatology,Under 15 Min,15,100%,Lahore
Assist. Prof. Dr. Saadiya Siddiqui,"Dermatologist, Cosmetologist",MBBS,14 Years,"Rs. 2,000",FCPS (Derm),Under 15 Min,26,100%,Lahore
Dr. Aleena Irteza Khan,"Cosmetologist, Dermatologist",M.B.B.S,10 Years,Not Available,"M.C.P.S (Dermatology),  M.D",Under 15 Min,69,98%,Lahore
Prof. Dr. Azam Bukhari,Dermatologist,MBBS,35 Years,"Rs. 1,500","M.Sc (Dermatology),   FCPS (Dermatology),  MCPS (Dermatology)",Under 15 Min,1066,99%,Lahore
Dr. Uzma Khalil,"Dermatologist, Cosmetologist",M.B.B.S,17 Years,Not Available,M.C.P.S,Under 15 Min,23,96%,Lahore
Dr. Shahbaz Ali,"Dermatologist, Cosmetologist, Hair Transplant Surgeon",M.B.B.S.,10 Years,"Rs. 1,500",MD Dermatology,Under 15 Min,60,94%,Lahore
Dr. Khadija Kiran,"Aesthetic Physician, Laser Specialist, Cosmetologist, Dermatologist",M.B.B.S,10 Years,"Rs. 1,500","M.C.P.S (Dermatology),  American Board Certified in Aesthetic Medicine",Under 15 Min,371,98%,Lahore
Dr. Nida Eily,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,Not Available,F.C.P.S. (Dermatology),15 - 30 Min,3,100%,Lahore
Dr. Shaiqa Ali,"Dermatologist, Cosmetologist",MBBS,18 Years,"Rs. 1,500","M.D (Dermatology),  MCPS (Dermatology)",Under 15 Min,66,96%,Lahore
Dr. Tariq Niaz Butt,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,12 Years,"Rs. 2,000","MSc (Clinical Dermatology),  Dip. Derm (UK)",Under 15 Min,441,99%,Lahore
Dr. Mansoor Haider,"Dermatologist, Cosmetologist",MBBS,34 Years,"Rs. 3,000",FCPS (Dermatology),Under 15 Min,611,100%,Lahore
Dr. Marrium Manzoor,"Dermatologist, Cosmetologist",M.B.B.S.,9 Years,"Rs. 1,000",F.C.P.S. (Dermatology),Under 15 Min,459,99%,Lahore
Dr. Rabia Noor,"Dermatologist, Aesthetic Physician",M.B.B.S.,2 Years,"Rs. 2,000",Medical Aesthetics Diploma,Under 15 Min,99,95%,Lahore
Dr. Attiqua Akbar,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S,14 Years,"Rs. 2,000",Dip. In Dermatology,Under 15 Min,20,100%,Lahore
Dr. Asim Ali Hyder,Dermatologist,MBBS,28 Years,"Rs. 1,200","Dip. in Dermatology,  PGD",15 - 30 Min,71,96%,Lahore
Dr. Sana Sheraz Javaid,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,"Rs. 2,000",PGDip. In Dermatology (UK),Under 15 Min,36,100%,Lahore
Dr. Muhammad Khurshid Azam Basra,Dermatologist,MBBS,7 Years,Not Available,"DDSc (UK),  MD (UK)",23 Years,not available,100%,Lahore
Dr. Sana Naz,"Dermatologist, Cosmetologist",MBBS,8 Years,Not Available,"PGD in Dermatology (UK),  MSc (Dermatology)",15 - 30 Min,83,100%,Lahore
Dr. Mehvish Naeem,"Dermatologist, Aesthetic Medicine Specialist",M.B.B.S.,8 Years,Not Available,"Dip. in Dermatology,  Dip. in  Aesthetics Medicine",Under 15 Min,12,92%,Lahore
Assist. Prof. Dr. Mahwish Zahoor,"Dermatologist, Cosmetologist",M.B.B.S.,15 Years,Not Available,"M.D (Dermatology),  MCPS (Dermatology)",Under 15 Min,63,100%,Lahore
Dr. M. Awais Khan,"Dermatologist, Cosmetologist",MBBS,12 Years,Not Available,MCPS,Under 15 Min,21,100%,Lahore
Dr. Sumeet Ashraf,"Dermatologist, Cosmetologist",MBBS,7 Years,Not Available,FCPS I,Under 15 Min,135,99%,Lahore
Dr. Saamira Farid,"Dermatologist, Cosmetologist",M.B.B.S,15 Years,Not Available,M.C.P.S (Dermatology),Under 15 Min,5,100%,Lahore
Dr. Naila Tabassum,"Dermatologist, Aesthetic Physician",M.B.B.S,"100%
                                                                                    (2)",Not Available,F.C.P.S,17 Years,2,,Lahore
Dr. Muhammad Awais Arif,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,10 Years,Not Available,"Master of Science in Public Health,  Diploma in Dermatology and Dermatosurgery,  Fellowship Training in Cutaneous and Laser Surgery,  Diplomate American Board of Laser Surgery",Under 15 Min,87,98%,Lahore
Dr. Asmaa Batool Ramay,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,Not Available,F.C.P.S.,Under 15 Min,74,100%,Lahore
Dr. M. Tauqir Ahmad,"Cosmetologist, Dermatologist",MBBS,"100%
                                                                                    (3)",Not Available,MBCAM,25 Years,3,,Lahore
Dr. Sarmad Malik,"Dermatologist, Cosmetologist",M.B.B.S.,12 Years,Not Available,M.C.P.S (Dermatology),Under 15 Min,92,99%,Lahore
Assist. Prof. Dr. Sameera Iqbal,"Dermatologist, Cosmetologist",M.B.B.S.,15 Years,Not Available,F.C.P.S. (Dermatology),Under 15 Min,205,99%,Lahore
Dr. Sania Javaid,"Dermatologist, Aesthetic Physician, Cosmetologist",MBBS,10 Years,Not Available,"Diploma in Dermatology,  M.C.P.S,  Certified in Advanced Cosmetology,  Certified in Advanced Injectables,  Diplomate In Dermatology,  Diplomate In Dermatology",Under 15 Min,1151,98%,Lahore
Dr. Hina Manzoor,"Dermatologist, Cosmetologist",M.B.B.S.,8 Years,Not Available,F.C.P.S. (Dermatology),15 - 30 Min,158,100%,Lahore
Dr. Uzma Ahsan,Dermatologist,MBBS,"100%
                                                                                    (15)",Not Available,FCPS,5 Years,15,,Lahore
Dr. Nabeel Asghar Chaudhry,"Dermatologist, Cosmetologist",MBBS,15 Years,Not Available,"MCPS (Dermatology),  Diplomat American Board Of Aesthetic Medicines (USA),  OJT Cosmetic Dermatology (London)",15 - 30 Min,111,89%,Lahore
Dr. Maria Azad,"Dermatologist, Cosmetologist",MBBS,12 Years,Not Available,"MCPS (Dermatology),  MRCP (UK),  SCE (Dermatology) UK",Under 15 Min,12,100%,Lahore
Dr. Sadaf Amin,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,15 Years,Not Available,F.C.P.S (Derma),Under 15 Min,356,99%,Lahore
Dr. Muhammad Abaidullah,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,Not Available,F.C.P.S (Derma),15 - 30 Min,7,100%,Lahore
Dr. Kamran Khan,"Dermatologist, Cosmetologist",M.B.B.S,9 Years,Not Available,"M.C.P.S (Dermatology),  MSc Cosmetic Medicine",Under 15 Min,36,100%,Lahore
Dr. Aasma Tayyab,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,14 Years,"Rs. 2,500","MSc (Clinical Dermatology) UK,  Certified in all anti-aging and aesthetic treatments",Under 15 Min,3684,100%,Islamabad
Dr. Farzana Tanveer,"Dermatologist, Cosmetologist",MBBS,18 Years,"Rs. 2,000",Diploma in Dermatology.,Under 15 Min,733,98%,Islamabad
Assist. Prof. Dr. Mahvish Aftab Khan,"Dermatologist, Cosmetologist",M.B.B.S.,22 Years,"Rs. 2,500","F.C.P.S. (Dermatology),  AAAM (USA)",Under 15 Min,722,98%,Islamabad
Dr. Saima Khan,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,12 Years,"Rs. 2,000",Diploma in Dermatology,Under 15 Min,831,97%,Islamabad
Dr. Umaima Afzal,"Dermatologist, Cosmetologist",M.B.B.S,7 Years,"Rs. 1,500",F.C.P.S (Dermatology),15 - 30 Min,29,100%,Islamabad
Dr. Afshan Sagheer,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,"Rs. 1,500",F.C.P.S (Dermatology),Under 15 Min,135,96%,Islamabad
Dr. Malik Aftab Afzal,"Dermatologist, Cosmetologist",MD,12 Years,"Rs. 2,000","MSPH,  DCDD",Under 15 Min,1924,97%,Islamabad
Dr. Shireen Ansari,"Dermatologist, Aesthetic Physician",MBBS,25 Years,"Rs. 3,000",Diploma in Dermatology (UK),Under 15 Min,496,98%,Islamabad
Dr. Shahana Jan Durrani,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S.,32 Years,"Rs. 2,000","PG Dip. Cosmetic  Medicine (UK),   Diplomat of the American Academy of Aesthetic Medicine (AAAM),  MSc in Clinical Dermatology",Under 15 Min,448,99%,Islamabad
Dr. Zartash Arshad,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S,23 Years,"Rs. 3,000",M.C.P.S (Dermatology),Under 15 Min,1158,99%,Islamabad
Dr. Tayyaba Masood,"Dermatologist, Aesthetic Physician",MD (Cuba),8 Years,"Rs. 2,500","MCPS,  PG Clinical Dermatology (University of South Wales UK),  M.Sc Dermatology (University of South Wales UK),  MPH,  CHPE/ICMT",Under 15 Min,50,100%,Islamabad
Dr. Safia Habib,"Dermatologist, Cosmetologist",M.B.B.S,18 Years,"Rs. 3,500",M.C.P.S (Dermatology),Under 15 Min,56,100%,Islamabad
Dr. Nigar Kunwal,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,16 Years,"Rs. 2,000","D-Derm ,  MRCP (Derma)",Under 15 Min,695,99%,Islamabad
Dr. Maimoona Mumtaz,"Dermatologist, Cosmetologist",MBBS,8 Years,Not Available,MCPS (Dermatology),Under 15 Min,120,99%,Islamabad
Dr. Khalid Aslam,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 1,500",Diploma in Dermatology,Under 15 Min,72,99%,Islamabad
Dr. Aimen Fatima,"Dermatologist, Aesthetic Physician, Cosmetologist",AAAM (USA),7 Years,"Rs. 1,500",M.C.P.S,Under 15 Min,344,100%,Islamabad
Dr. Shaila Ishfaq,"Dermatologist, Aesthetic Physician",M.B.B.S.,10 Years,"Rs. 2,000","Diplomate in Dermatology,  Diplomate In Aesthetic Medicine",Under 15 Min,166,98%,Islamabad
Dr. Naimatullah,"Dermatologist, Cosmetologist",M.B.B.S,36 Years,Not Available,M.C.P.S. (Dermatology),Under 15 Min,341,99%,Islamabad
Dr. Noor Ul Ain,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S.,"99%
                                                                                    (205)","Rs. 1,400","MSc Clinical Dermatology,  Diploma in Aesthetic Medicine",5 Years,205,,Islamabad
Dr. Naveed Malik,"Dermatologist, Cosmetologist",MBBS,"99%
                                                                                    (205)","Rs. 2,000",FCPS (Dermatology),30 Years,not available,,Islamabad
Dr. Sumbleen Majid Ali,"Dermatologist, Family Physician, Cosmetologist",MBBS,10 Years,"Rs. 2,200","MCPS (Family Medicine),  MCPS (Dermatology)",15 - 30 Min,120,99%,Islamabad
Dr. Koukab Gulzar,"Dermatologist, Cosmetologist",MBBS,21 Years,"Rs. 1,500",FCPS (Dermatology),15 - 30 Min,34,100%,Islamabad
Dr. Saba Ahsun,"Cosmetologist, Dermatologist",M.B.B.S,8 Years,"Rs. 2,000","M.C.P.S. (Dermatology),  PG Cert Aesthetic Medicine (QMUL,  UK)",Under 15 Min,75,99%,Islamabad
Dr. Nousheen Rizwan,"Dermatologist, Cosmetologist",MBBS,13 Years,"Rs. 2,000",Dip in  Dermatology,Under 15 Min,181,99%,Islamabad
Dr. Fauzia Arshad,"Dermatologist, Cosmetologist",M.B.B.S,23 Years,"Rs. 1,000",M.C.P.S (Dermatology),Under 15 Min,225,100%,Islamabad
Dr. Shamim Kousar,"Dermatologist, Cosmetologist",MBBS,22 Years,"Rs. 1,500",MCPS (Dermatology),Under 15 Min,79,99%,Islamabad
Dr. Beenish Maryam,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,"Rs. 1,000",F.C.P.S (Dermatology),Under 15 Min,69,100%,Islamabad
Dr. Adil Hamayun,"Dermatologist, Laser Specialist",M.B.B.S,10 Years,Not Available,Dip. In Dermatology & Dermatosurgery ( Japan and Thailand),Under 15 Min,1962,98%,Islamabad
Dr. Andaleeb Khan,"Dermatologist, Cosmetologist",MBBS,22 Years,"Rs. 1,500",MCPS (Dermatology),Under 15 Min,594,99%,Islamabad
Dr. Shanza Obaid Niazi,"Dermatologist, Cosmetologist",M.B.B.S.,22 Years,Not Available,F.C.P.S. (Dermatology),7 Years,not available,99%,Islamabad
Dr. Shafiq Ur Rehman Farooqui,"Dermatologist, Cosmetologist",M.B.B.S.,16 Years,"Rs. 2,000",F.C.P.S. (Dermatology),15 - 30 Min,4,100%,Islamabad
Dr. Farzana Abdullah,"Dermatologist, Cosmetologist",MBBS,6 Years,"Rs. 2,000","FCPS (Dermatology),  Specialty Certificate in Dermatology (UK)",Under 15 Min,4,100%,Islamabad
Dr. Dur e Shehwar Sikandar,"Aesthetic Physician, Dermatologist",MBBS,16 Years,Not Available,"MCPS (Dermatology),  MD (T. PIMS),  AAAM (USA)",Under 15 Min,147,97%,Islamabad
Dr. Jawaria Shahab,"Dermatologist, Cosmetologist",M.B.B.S.,12 Years,"Rs. 1,000","F.C.P.S. (Dermatology),  SCE (dermatology)",1+ Hour,12,100%,Islamabad
Dr. Azhar Haleem,"Dermatologist, Cosmetologist",M.B.B.S,25 Years,Not Available,"M.D (Romania),  Dip in Derm.,  Diploma in Dermatology (Thailand)",Under 15 Min,276,99%,Islamabad
Dr. Muneeza Hasan,"Dermatologist, Cosmetologist",M.B.B.S,26 Years,"Rs. 2,000",Australian Dermatology Diploma (ADD),Under 15 Min,259,98%,Islamabad
Dr. S.K Niazi,"Dermatologist, Cosmetologist",M.B.B.S (DOW),22 Years,"Rs. 1,200",D.Derm (Thailand),Under 15 Min,97,98%,Islamabad
Dr. Farida Ahmad,"Dermatologist, Cosmetologist",Diploma in Dermatology,33 Years,"Rs. 1,500",M.B.B.S.,Under 15 Min,176,100%,Islamabad
